1;Quarto;100-200;1621172081;S;Ligado;
1;Quarto;100-200;1621172090;S;Ligado;
1;Quarto;100-200;1621172118;S;Ligado;
1;Quarto;100-200;1621172120;L;1.393276;
1;Quarto;100-200;1621172121;L;1.392457;
1;Quarto;100-200;1621172122;L;1.394910;
1;Quarto;100-200;1621172123;L;1.395454;
1;Quarto;100-200;1621172124;L;1.408125;
1;Quarto;100-200;1621172125;L;1.403566;
1;Quarto;100-200;1621172126;L;1.418218;
1;Quarto;100-200;1621172127;L;1.407055;
1;Quarto;100-200;1621172128;L;1.411326;
1;Quarto;100-200;1621172129;L;1.411060;
1;Quarto;100-200;1621172130;L;1.409193;
1;Quarto;100-200;1621172131;L;1.409460;
1;Quarto;100-200;1621172132;L;1.409460;
1;Quarto;100-200;1621172133;L;1.407857;
1;Quarto;100-200;1621172134;L;1.411326;
1;Quarto;100-200;1621172135;L;1.132207;
1;Quarto;100-200;1621172136;L;0.871358;
1;Quarto;100-200;1621172137;L;1.406519;
1;Quarto;100-200;1621172138;L;1.404910;
1;Quarto;100-200;1621172139;L;0.841253;
1;Quarto;100-200;1621172140;L;1.403566;
1;Quarto;100-200;1621172141;L;1.419800;
1;Quarto;100-200;1621172142;L;0.900090;
1;Quarto;100-200;1621172143;L;0.920076;
1;Quarto;100-200;1621172144;L;1.345561;
1;Quarto;100-200;1621172145;L;1.399251;
1;Quarto;100-200;1621172146;L;1.362899;
1;Quarto;100-200;1621172147;L;1.359756;
1;Quarto;100-200;1621172148;L;1.388899;
1;Quarto;100-200;1621172149;L;1.349650;
1;Quarto;100-200;1621172150;L;1.356309;
1;Quarto;100-200;1621172151;L;1.359182;
1;Quarto;100-200;1621172152;L;1.342919;
1;Quarto;100-200;1621172153;L;1.333428;
1;Quarto;100-200;1621172154;L;1.377559;
1;Quarto;100-200;1621172155;L;1.383114;
1;Quarto;100-200;1621172156;L;1.373082;
1;Quarto;100-200;1621172157;L;1.349941;
1;Quarto;100-200;1621172158;L;1.395726;
1;Quarto;100-200;1621172159;L;1.360328;
1;Quarto;100-200;1621172160;L;1.378673;
1;Quarto;100-200;1621172161;L;1.383390;
1;Quarto;100-200;1621172162;L;1.369423;
1;Quarto;100-200;1621172163;L;1.372801;
1;Quarto;100-200;1621172164;L;1.403566;
1;Quarto;100-200;1621172165;L;1.394910;
1;Quarto;100-200;1621172166;L;1.390543;
1;Quarto;100-200;1621172167;L;1.389722;
1;Quarto;100-200;1621172168;L;1.345268;
1;Quarto;100-200;1621172169;L;1.384219;
1;Quarto;100-200;1621172170;L;1.373924;
